id,product_id,designer,seller_id,sku,name,hsn_code,material,color,no_of_components,barcode,short_description,description,tags,gender,occasions,categories,product_url,created_at,updated_at
1,1,Dahlia,82,da23co005,Kora Mirri Co-ord Set,6204,"100% Handwoven Cotton, 100% Handwoven AND Natural Dyed Malkha",KORA RED,2,"da23co005, da23co005xskorared, da23co005skorared, da23co005mkorared, da23co005lkorared, da23co005xlkorared, da23co0052xlkorared, da23co0053xlkorared, da23co005freesizekorared",A statement flap trousers paired with a chic open-back cropped shirt.,"Turn heads with the Mirri Coord Set-a striking blend of bold design and effortless elegance. Made from naturally dyed Malkha fabric, the statement flap trousers offer a sleek, structured fit with functional pockets for everyday ease. Paired with a chic open-back cropped shirt in breathable natural cotton, this set exudes confidence and sophistication. The playful yet polished open-back detail adds an unexpected twist, making it perfect for any occasion, from brunch to an evening out. Sustainable, stylish, and powerfully unique-own the look with Mirri!","Handwoven Ikat, Red, Kora, Coord Set, Polka Dots, Backless, Natural Dye, women",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/da23co005,23-11-2025 11:26,23-11-2025 11:26
2,10,Dahlia,82,da23co004,Indigo Mirri Co-ord Set,6204,"100% Handwoven Cotton, 100% Handwoven AND Natural Dyed Malkha",INDIGO KORA,2,"da23co004, da23co004xsindigokora, da23co004sindigokora, da23co004mindigokora, da23co004lindigokora, da23co004xlindigokora, da23co0042xlindigokora, da23co0043xlindigokora",A statement flap trousers paired with a chic open-back cropped shirt.,"Turn heads with the Mirri Coord Set-a striking blend of bold design and effortless elegance. Made from naturally dyed Malkha fabric, the statement flap trousers offer a sleek, structured fit with functional pockets for everyday ease. Paired with a chic open-back cropped shirt in breathable natural cotton, this set exudes confidence and sophistication. The playful yet polished open-back detail adds an unexpected twist, making it perfect for any occasion, from brunch to an evening out. Sustainable, stylish, and powerfully unique-own the look with Mirri!","Handwoven Ikat, Red, Kora, Coord Set, Polka Dots, Backless, Natural Dye, women",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/da23co004,23-11-2025 11:26,23-11-2025 11:26
3,19,Dahlia,82,da23to004,Red Mirri Shirt,6204,100% Handwoven AND Natural Dyed Malkha,RED,1,"da23to004, da23to004xsred, da23to004sred, da23to004mred, da23to004lred, da23to004xlred, da23to0042xlred, da23to0043xlred",A chic shirt features a striking open-back design.,"Turn heads with the Mirri Cropped Shirt, a statement piece that redefines effortless elegance. Crafted from breathable natural cotton, this chic shirt features a striking open-back design that adds a touch of allure while keeping you comfortable. Its modern cropped silhouette makes it versatile and easy to style-pair it with high-waisted trousers for a sleek, polished look or layer it over a dress for a fashion-forward twist. Whether for brunch, a night out, or a power meeting, this timeless yet bold piece is a must-have for the modern woman.","Shirt, Malkha, Red, backless, natural dye, women",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Tops, Shirt",https://thechicindian.com/product-details-sku/da23to004,23-11-2025 11:26,23-11-2025 11:26
4,28,Dahlia,82,da23to003,Kora Mirri Shirt,6204,100% Handwoven Waffle Cotton,KORA OFF WHITE,1,"da23to003, da23to003xskoraoffwhite, da23to003skoraoffwhite, da23to003mkoraoffwhite, da23to003lkoraoffwhite, da23to003xlkoraoffwhite, da23to0032xlkoraoffwhite, da23to0033xlkoraoffwhite",A chic shirt features a striking open-back design.,"Turn heads with the Mirri Cropped Shirt, a statement piece that redefines effortless elegance. Crafted from breathable natural cotton, this chic shirt features a striking open-back design that adds a touch of allure while keeping you comfortable. Its modern cropped silhouette makes it versatile and easy to style-pair it with high-waisted trousers for a sleek, polished look or layer it over a dress for a fashion-forward twist. Whether for brunch, a night out, or a power meeting, this timeless yet bold piece is a must-have for the modern woman.","Shirt, Checks, Cotton, Off-white, cotton, cropped shirt, open back, women",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Tops, Shirt",https://thechicindian.com/product-details-sku/da23to003,23-11-2025 11:26,23-11-2025 11:26
5,37,Dahlia,82,da23bo004,Kora Mirri Trouser,6204,100% Handwoven Cotton Ikat,KORA OFF WHITE,1,"da23bo004, da23bo004xskoraoffwhite, da23bo004skoraoffwhite, da23bo004mkoraoffwhite, da23bo004lkoraoffwhite, da23bo004xlkoraoffwhite, da23bo0042xlkoraoffwhite, da23bo0043xlkoraoffwhite, da23bo004freesizekoraoffwhite",A flap-detail trouser with functional pockets.,"Make a bold statement with the Mirri Trousers, designed for the modern woman who loves style with an edge. Crafted from natural handwoven fabric, these flap-detail trousers redefine sophistication with their structured yet fluid silhouette. The functional pockets add effortless practicality, while the unique flap design creates a striking, fashion-forward look. Whether paired with the Mirri Cropped Shirt for a coordinated ensemble or styled separately, these trousers bring a perfect blend of comfort, sustainability, and standout elegance to your wardrobe. Upgrade your everyday style with this must-have piece!","Handwoven, Polka Dots, Cotton, Trouser, Off-white, Kora, Red, women",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Bottoms, Pants & Trousers",https://thechicindian.com/product-details-sku/da23bo004,23-11-2025 11:26,23-11-2025 11:26
6,46,Dahlia,82,da23bo003,Indigo Mirri Trouser,6204,"100% Handwoven, Natural Dyed Malkha",Indigo,1,da23bo003,A flap-detail trouser with functional pockets.,"Make a bold statement with the Mirri Trousers, designed for the modern woman who loves style with an edge. Crafted from natural handwoven fabric, these flap-detail trousers redefine sophistication with their structured yet fluid silhouette. The functional pockets add effortless practicality, while the unique flap design creates a striking, fashion-forward look. Whether paired with the Mirri Cropped Shirt for a coordinated ensemble or styled separately, these trousers bring a perfect blend of comfort, sustainability, and standout elegance to your wardrobe. Upgrade your everyday style with this must-have piece!","Handwoven, Malkha, Indigo, Checks, Trouser, women",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Bottoms, Pants & Trousers",https://thechicindian.com/product-details-sku/da23bo003,23-11-2025 11:26,23-11-2025 11:26
7,55,Dahlia,82,da23co007,Red Suri Co-ord Set,6204,"100% Handwoven, Natural Dyed Malkha",RED,3,"da23co007, da23co007xsred, da23co007sred, da23co007mred, da23co007lred, da23co007xlred, da23co0072xlred, da23co0073xlred, da23co007freesizered","A three-piece ensemble featuring a structured blazer, tailored trousers and a sleek inner top.","Power meets versatility in the Suri Coord Set-a must-have for the modern woman who loves to make a statement.This three-piece ensemble, crafted from luxurious handwoven fabric, seamlessly blends elegance with functionality. The structured blazer, featuring deep pockets, adds a polished edge, while the tailored trousers, also with functional pockets, offer both style and practicality. The sleek inner top completes the look, making it perfect for work meetings, brunches, or an effortless day-to-night transition. Wear it as a striking co-ord or mix and match the pieces-this set is your ultimate wardrobe investment in timeless fashion and sustainable luxury.","Coord, Red, Checks, Malkha, Handwoven, 3 piece set, suit, blazer, trouser, handwoven, women, natural dye",Women,"Office, Formal meetings, Networking events, Conferences, Gala Dinners, Award Nights, Charity Balls AND Luxury Events, Corporate Celebrations, Launch Events, Brunches, High Tea events","Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/da23co007,23-11-2025 11:26,23-11-2025 11:26
8,64,Dahlia,82,da23to006,Red Suri Top,6204,"100% Handwoven, Natural Dyed Malkha",RED,1,"da23to006, da23to006xsred, da23to006sred, da23to006mred, da23to006lred, da23to006xlred, da23to0062xlred, da23to0063xlred",A red halter neck top.,"Make a statement with the Suri Red Halter Neck Top-where elegance meets versatility. Designed to flatter, this bold yet timeless piece features a chic halter neckline that highlights your shoulders and adds a touch of effortless sophistication. Whether you're styling it with tailored trousers for a power look, pairing it with denim for a casual day out, or layering it under a blazer for evening elegance, this top adapts to any occasion with ease. Crafted from premium handwoven fabric, it's as comfortable as it is stylish. A must-have piece that instantly elevates your wardrobe!","Red, Top, Malkha, Halterneck, handwoven, cotton, natural dye, v neck, women, casual",Women,"Celebrations, Launch Events, Brunches, Date nights, Romantic Dinners, Anniversaries, First dates, Beach, Resort, Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera","Women, Tops, Blouses",https://thechicindian.com/product-details-sku/da23to006,23-11-2025 11:26,23-11-2025 11:26
9,73,Dahlia,82,da23bo006,Red Suri Trouser,6204,"100% Handwoven, Natural Dyed Malkha",RED,1,"da23bo006, da23bo006xsred, da23bo006sred, da23bo006mred, da23bo006lred, da23bo006xlred, da23bo0062xlred, da23bo0063xlred",A statement tailored fit trouser with red checkered pattern.,"Bold, versatile, and effortlessly chic-the Suri Trouser is a statement piece that belongs in your wardrobe. Crafted from handwoven fabric, its tailored fit and eye-catching checkered pattern bring the perfect balance of structure and playfulness. Designed for both style and practicality, it features functional pockets to keep your essentials close. Whether paired with a crisp shirt for a power look or a relaxed tee for weekend ease, this trouser adapts to your every mood. Elevate your everyday style with a piece that's as bold and dynamic as you are!","Trouser, Red, Checks, Malkha, Handwoven, cotton, natural dye, handwoven",Women,"Celebrations, Launch Events, Brunches, Date nights, Romantic Dinners, Anniversaries, First dates, Beach, Resort, Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera","Women, Bottoms, Pants & Trousers",https://thechicindian.com/product-details-sku/da23bo006,23-11-2025 11:26,23-11-2025 11:26
10,82,Dahlia,82,da23ja006,Red Suri Blazer,6204,"100% Handwoven, Natural Dyed Malkha",RED,1,"da23ja006, da23ja006xsred, da23ja006sred, da23ja006mred, da23ja006lred, da23ja006xlred, da23ja0062xlred, da23ja0063xlred",Red checkered blazer with functional pockets.,"Power dressing meets effortless charm with the Suri Red Checked Blazer. Crafted from soft, breathable fabric, this double-breasted statement piece blends sophistication with comfort. The bold checkered pattern adds a touch of confidence, while functional pockets bring practicality to your style. Whether you're commanding the boardroom, layering it over a dress for a chic evening look, or pairing it with denim for an elevated casual vibe, this blazer is the ultimate wardrobe essential. Tailored to perfection, it's a must-have for women who dress with intention.","Blazer, Red, Checks, Malkha, Handwoven, women, double breasted, natural dye",Women,"Celebrations, Launch Events, Brunches, Date nights, Romantic Dinners, Anniversaries, First dates, Beach, Resort, Vacations, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera","Women, Outerwear, Jackets & Blazers",https://thechicindian.com/product-details-sku/da23ja006,23-11-2025 11:26,23-11-2025 11:26
11,91,Dahlia,82,da23co008,Kora Suri Co-ord Set,6204,100% Handwoven Cotton Ikat,INDIGO,3,"da23co008, da23co008xsindigo, da23co008sindigo, da23co008mindigo, da23co008lindigo, da23co008xlindigo, da23co0082xlindigo, da23co0083xlindigo","A three-piece ensemble featuring a structured blazer, tailored trousers and a sleek inner top.","Power meets versatility in the Suri Coord Set-a must-have for the modern woman who loves to make a statement.This three-piece ensemble, crafted from luxurious handwoven fabric, seamlessly blends elegance with functionality. The structured blazer, featuring deep pockets, adds a polished edge, while the tailored trousers, also with functional pockets, offer both style and practicality. The sleek inner top completes the look, making it perfect for work meetings, brunches, or an effortless day-to-night transition. Wear it as a striking co-ord or mix and match the pieces-this set is your ultimate wardrobe investment in timeless fashion and sustainable luxury.","Coord, Kora, Off-white, Ikat, Cotton, Handwoven, indigo, women, natural dye",Women,"Office parties, Date night, Romantic Dinner, Anniversaries, First dates, Cruise Getaways, Summer Escapes, Art Exhibitions, Literature Festivals, Theatre opera, Brunches","Women, Sets, Co-ord set",https://thechicindian.com/product-details-sku/da23co008,23-11-2025 11:26,23-11-2025 11:26
